http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=547,"National Energy Board","Certus Strategies",,2008-07-25,"0617 Other Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=546,"National Energy Board","IT Services Canada",,2008-07-17,"0602 Information Technology Consultants",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=549,"National Energy Board","IT Services Canada Ltd.",,2008-07-15,"0618 Other Business Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=545,"National Energy Board","Diamind Technologies Inc.",,2008-07-11,"0602 Information Technology Consultants",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=542,"National Energy Board","Envirotech Engineering",,2008-07-03,"0618 Other Business Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=535,"National Energy Board","Informetrica Ltd.",,2008-06-24,"0617 Other Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=548,"National Energy Board","Certus Strategies",,2008-06-24,"0618 Other Business Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=540,"National Energy Board","Emond Harnden",,2008-06-23,"0603 Other Consulting Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=533,"National Energy Board","Paula Rennie",,2008-06-23,"0613 Translation Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=534,"National Energy Board","Services Linguistiques DEB Langauge Services",,2008-06-19,"0613 Translation Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=536,"National Energy Board","Communication Gama Inc.",,2008-06-19,"0613 Translation Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=532,"National Energy Board","Boettger and Associates",,2008-06-18,"0612 Legal Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=538,"National Energy Board","Thema Communications Inc.",,2008-06-16,"0613 Translation Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=528,"National Energy Board","Wendy Ryan",,2008-06-12,"0617 Other Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=529,"National Energy Board","PIRA Energy Group",,2008-06-12,"0617 Other Professional Services",,,,"US dollars"
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=527,"National Energy Board","Terra Reproductions Inc.",,2008-06-03,"0603 Other Consulting Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=537,"National Energy Board","Ross Smith Energy Group Ltd.",,2008-06-01,"0617 Other Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=543,"National Energy Board","NOVA Wireless Consulting",,2008-05-23,"0411 Training Consultants",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=520,"National Energy Board","DMTI Spatial Inc.",,2008-05-20,"0912 Library - Periodicals",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=531,"National Energy Board","Rowan Tree Books Ltd.",,2008-05-14,"0617 Other Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=544,"National Energy Board","Rogers Direct",,2008-05-12,"1121 Voice Communication Equipment",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=541,"National Energy Board","Thomas Balaski",,2008-05-09,"0617 Other Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=517,"National Energy Board","Lexis Nexis Canada Inc.",,2008-05-09,"0618 Other Business Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=530,"National Energy Board","Centre for Strategic Management Inc.",,2008-05-08,"0617 Other Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=513,"National Energy Board","Robert D. Bott",,2008-05-06,"0617 Other Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=510,"National Energy Board","Ajilon Canada Inc.",,2008-05-02,"0603 Other Consulting Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=499,"National Energy Board","Eagle Professional Resources Inc.",,2008-04-29,"0602 Information Technology Consultants",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=493,"National Energy Board","Microsoft Canada Co.",,2008-04-05,"1201 Repairs - Computer Hardware and Software",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=495,"National Energy Board","Geologic Systems Ltd.",,2008-04-01,"0911 Library &acirc;&#128;&#147; Books &amp; Other",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=490,"National Energy Board","Open Text Corporation",,2008-04-01,"1201 Repairs - Computer Hardware and Software",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=524,"National Energy Board","Darlene Ursalak",,2008-04-01,"0603 Other Consulting Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=525,"National Energy Board","Jean Ragan",,2008-04-01,"0603 Other Consulting Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=489,"National Energy Board","Open Text Corp.",,2008-03-31,"1201 Repairs - Computer Hardware and Software",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=496,"National Energy Board","Freebalance Inc.",,2008-03-31,"1201 Repairs - Computer Hardware and Software",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=539,"National Energy Board","Xerox Canada Ltd.",,2008-03-30,"1112 Other Office Equipment and Parts",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=486,"National Energy Board","Wood Mackenzie",,2008-03-28,"0617 Other Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=488,"National Energy Board","Lippman Consulting Inc.",,2008-03-27,"0617 Other Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=491,"National Energy Board","Dell Canada Inc.",,2008-03-27,"1104 Server / Printers / Components",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=521,"National Energy Board","Bridgetown Consulting Inc.",,2008-03-27,"0603 Other Consulting Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=522,"National Energy Board","IT Services Canada Inc.",,2008-03-27,"0603 Other Consulting Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=523,"National Energy Board","Diamind Technologies Inc.",,2008-03-27,"0603 Other Consulting Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=526,"National Energy Board","Totem Hill Inc.",,2008-03-27,"0603 Other Consulting Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=511,"National Energy Board","Pembina Institue",,2008-03-27,"0601 Management Consultants",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=508,"National Energy Board","Supreme Basics",,2008-03-27,"0901 Office Supplies",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=487,"National Energy Board","Wood Mackenzie",,2008-03-26,"0617 Other Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=484,"National Energy Board","Entrust Entelligence Security",,2008-03-26,"1103 Computer Software",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=492,"National Energy Board",Softchoice,,2008-03-25,"1104 Server / Printers / Components",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=479,"National Energy Board","CERA Inc",,2008-03-20,"0617 Other Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=512,"National Energy Board","CCSI Technology Solutions Corp.",,2008-03-19,"1201 Repairs - Computer Hardware and Software",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=477,"National Energy Board","EMC Corporation",,2008-03-18,"1103 Computer Software",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=480,"National Energy Board","Open Text",,2008-03-18,"1201 Repairs - Computer Hardware and Software",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=473,"National Energy Board","Softchoice Corp.",,2008-03-17,"1103 Computer Software",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=471,"National Energy Board","Ajilon Canada Inc.",,2008-03-17,"0602 Information Technology Consultants",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=475,"National Energy Board","Dell Canada Inc.",,2008-03-12,"1201 Repairs - Computer Hardware and Software",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=472,"National Energy Board","Mary-Ann Owens",,2008-03-11,"0411 Training Consultants",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=464,"National Energy Board","Privasoft Corp",,2008-03-11,"1103 Computer Software",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=503,"National Energy Board","InterCall Canada Inc",,2008-03-11,"1102 Computer Media &amp; Parts",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=514,"National Energy Board","Mary Ann Owens",,2008-03-11,"0411 Training Consultants",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=509,"National Energy Board","Xerox Canada Ltd.",,2008-03-08,"1101 Client Computing Devices",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=507,"National Energy Board","Inland Audio Visual Ltd",,2008-03-07,"1102 Computer Media &amp; Parts",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=465,"National Energy Board","Rogers Direct",,2008-03-07,"1121 Voice Communication Equipment",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=481,"National Energy Board","Nisha Technologies Inc.",,2008-03-07,"1101 Client Computing Devices",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=482,"National Energy Board","Nisha Technologies Inc.",,2008-03-06,"1101 Client Computing Devices",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=476,"National Energy Board","Acrodex Calgary",,2008-03-06,"1101 Client Computing Devices",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=497,"National Energy Board","Sydney Plus International Library System Corp.",,2008-03-04,"1201 Repairs - Computer Hardware and Software",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=500,"National Energy Board","Apache Superior Printing Ltd.",,2008-03-04,"0703 External Printing",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=506,"National Energy Board",Anixter,,2008-03-03,"1121 Voice Communication Equipment",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=515,"National Energy Board","725844 Alberta Inc.",,2008-03-01,"1211 Repairs Tenant Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=459,"National Energy Board","Xerox Canada Ltd.",,2008-02-29,"1101 Client Computing Devices",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=519,"National Energy Board","Inland Audio Visual Ltd",,2008-02-28,"1121 Voice Communication Equipment",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=504,"National Energy Board",Telus,,2008-02-28,"1121 Voice Communication Equipment",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=505,"National Energy Board","Inland Audio Visual Ltd",,2008-02-28,"1101 Client Computing Devices",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=516,"National Energy Board","FreeBalance Inc.",,2008-02-27,"0617 Other Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=467,"National Energy Board","Dell Canada Inc.",,2008-02-25,"1104 Server / Printers / Components",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=468,"National Energy Board","Dell Canada Inc.",,2008-02-25,"1104 Server / Printers / Components",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=469,"National Energy Board","Nisha Technologies",,2008-02-25,"1101 Client Computing Devices",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=498,"National Energy Board","ESRI Canada Ltd.",,2008-02-22,"1201 Repairs - Computer Hardware and Software",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=470,"National Energy Board","Paystation Inc.",,2008-02-21,"1112 Other Office Equipment and Parts",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=466,"National Energy Board","Nisha Technologies",,2008-02-21,"1101 Client Computing Devices",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=483,"National Energy Board","Nisha Technologies",,2008-02-21,"1101 Client Computing Devices",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=456,"National Energy Board","Eagle Professional Resources Inc.",,2008-02-19,"0602 Information Technology Consultants",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=457,"National Energy Board","LongView Systems",,2008-02-19,"1101 Client Computing Devices",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=485,"National Energy Board","Dell Canada Inc.",,2008-02-14,"1103 Computer Software",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=455,"National Energy Board",Metafore,,2008-02-12,"1201 Repairs - Computer Hardware and Software",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=502,"National Energy Board","Nisha Technologies",,2008-02-08,"1101 Client Computing Devices",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=453,"National Energy Board","Rowan Tree Books Ltd",,2008-02-06,"0617 Other Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=501,"National Energy Board","Nisha Technologies",,2008-02-01,"1101 Client Computing Devices",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=518,"National Energy Board","Sierra Systems Consultants",,2008-01-31,"0618 Other Business Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=450,"National Energy Board","Sierra Systems",,2008-01-31,"0602 Information Technology Consultants",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=451,"National Energy Board","Eagle Resources",,2008-01-31,"0602 Information Technology Consultants",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=452,"National Energy Board","Ajilon Canada Inc.",,2008-01-31,"0602 Information Technology Consultants",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=448,"National Energy Board","Nisha Technologies Inc.",,2008-01-30,"1104 Server / Printers / Components",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=449,"National Energy Board",MyMacDealer,,2008-01-28,"1101 Client Computing Devices",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=494,"National Energy Board","Hay Group Limited",,2008-01-21,"0603 Other Consulting Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=444,"National Energy Board","EOS Research and Consulting Ltd.",,2008-01-18,"0617 Other Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=461,"National Energy Board","Dell Canada Inc.",,2008-01-17,"1104 Server / Printers / Components",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=462,"National Energy Board","Dell Canada Inc.",,2008-01-17,"1104 Server / Printers / Components",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=463,"National Energy Board","Dell Canada Inc.",,2008-01-17,"1104 Server / Printers / Components",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=443,"National Energy Board","Nisha Technologies",,2008-01-15,"1104 Server / Printers / Components",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=446,"National Energy Board","Watson Governance Advisory Services Inc",,2008-01-10,"0617 Other Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=445,"National Energy Board","BMB Consulting",,2008-01-03,"0621 Non Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=440,"National Energy Board",Nova,,2007-12-20,"1101 Client Computing Devices",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=441,"National Energy Board","Ajilon Canada Inc.",,2007-12-18,"0602 Information Technology Consultants",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=442,"National Energy Board","Henderson Communications",,2007-12-17,"0617 Other Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=437,"National Energy Board","Robert D. Bott",,2007-12-05,"0617 Other Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=436,"National Energy Board","Tony Mitchell",,2007-11-28,"0603 Other Consulting Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=435,"National Energy Board","EmergWest Consulting",,2007-11-27,"0617 Other Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=433,"National Energy Board","Acrodex Inc.",,2007-11-20,"1101 Client Computing Devices",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=434,"National Energy Board","Paul Dupont",,2007-11-16,"0603 Other Consulting Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=430,"National Energy Board","CGI Information Systems and Management Consultants",,2007-11-05,"0603 Other Consulting Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=431,"National Energy Board","CGI Information Systems &amp; Managment Consultants Inc.",,2007-11-05,"0603 Other Consulting Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=428,"National Energy Board","Open Text Corporation",,2007-10-24,"0603 Other Consulting Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=427,"National Energy Board","Karen Coe &amp; Associates Ltd.",,2007-10-16,"0617 Other Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=432,"National Energy Board","Marc Perron",,2007-10-15,"0613 Translation Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=426,"National Energy Board","Eagle Professional Resources Inc.",,2007-10-12,"0602 Information Technology Consultants",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=425,"National Energy Board","Spirit Staffing",,2007-10-04,"0623 Temporary Help Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=438,"National Energy Board","Canada Council for the Arts",,2007-10-01,"1008 Rental - Other",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=422,"National Energy Board","Thomas Balaski",,2007-09-17,"0617 Other Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=423,"National Energy Board","TRAC Records Inc.",,2007-09-14,"0603 Other Consulting Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=421,"National Energy Board","Canadian North",,2007-09-12,"0618 Other Business Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=417,"National Energy Board","Ziff Energy Group",,2007-08-30,"0601 Management Consultants",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=418,"National Energy Board","Ajilon Canada Inc.",,2007-08-30,"0602 Information Technology Consultants",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=420,"National Energy Board","Deana Silverstone",,2007-08-28,"0617 Other Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=416,"National Energy Board","BMB Consulting Services Inc.",,2007-08-24,"0617 Other Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=415,"National Energy Board","Dell Canada Inc.",,2007-08-23,"1102 Computer Media &amp; Parts",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=412,"National Energy Board","ISTS Ltd.",,2007-08-17,"0614 Interpretation Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=413,"National Energy Board","Service Master Clean",,2007-08-15,"0621 Non Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=414,"National Energy Board","Service Master Clean",,2007-08-15,"0621 Non Professional Services",,,,
http://www.neb-one.gc.ca/cntrctsrprtng/vwcntrct.aspx?id=429,"National Energy Board","Spirit Staffing &amp; Consulting Inc.",,2007-08-08,"0623 Temporary Help Services",,,,
